6420 1 BYTE IRS_DisplaySelector "Positions 0..4
6421 1 BYTE IRS_SysDisplay_R "Boolean: false: L true: R
6422 1 BYTE IRS_annunGPS "Boolean
6423 2 BYTE IRS_annunALIGN[2] "Booleans
6425 2 BYTE IRS_annunON_DC[2] "Booleans
6427 2 BYTE IRS_annunFAULT[2] "Booleans
6429 2 BYTE IRS_annunDC_FAIL[2] "Booleans
642B 2 BYTE IRS_ModeSelector[2] "0: OFF 1: ALIGN 2: NAV 3: ATT
642D 1 BYTE WARN_annunPSEU "Boolean
642E 1 BYTE COMM_ServiceInterphoneSw "Boolean
642F 1 BYTE LTS_DomeWhiteSw "0: DIM 1: OFF 2: BRIGHT
6430 2 BYTE ENG_EECSwitch[2] "Boolean
6432 2 BYTE ENG_annunREVERSER[2] "Boolean
6434 2 BYTE ENG_annunENGINE_CONTROL[2] "Boolean
6436 2 BYTE ENG_annunALTN[2] "Boolean
6438 1 BYTE OXY_Needle "Position 0...240
6439 1 BYTE OXY_SwNormal "Boolean
643A 1 BYTE OXY_annunPASS_OXY_ON "Boolean true: NORMAL false: ON
643B 1 BYTE GEAR_annunOvhdLEFT "Boolean
643C 1 BYTE GEAR_annunOvhdNOSE "Boolean
643D 1 BYTE GEAR_annunOvhdRIGHT "Boolean
643E 1 BYTE FLTREC_SwNormal "Boolean true: NORMAL false: TEST
643F 1 BYTE FLTREC_annunOFF "Boolean
6440 2 BYTE FCTL_FltControl_Sw[2] "0: STBY/RUD 1: OFF 2: ON
6442 2 BYTE FCTL_Spoiler_Sw[2] "Boolean true: ON false: OFF
6444 1 BYTE FCTL_YawDamper_Sw "Boolean
6445 1 BYTE FCTL_AltnFlaps_Sw_ARM "Boolean true: ARM false: OFF
6446 1 BYTE FCTL_AltnFlaps_Control_Sw "0: UP 1: OFF 2: DOWN
6447 2 BYTE FCTL_annunFC_LOW_PRESSURE[2] "Boolean
6449 1 BYTE FCTL_annunYAW_DAMPER "Boolean
644A 1 BYTE FCTL_annunLOW_QUANTITY "Boolean
644B 1 BYTE FCTL_annunLOW_PRESSURE "Boolean
644C 1 BYTE FCTL_annunLOW_STBY_RUD_ON " Boolean
644D 1 BYTE FCTL_annunFEEL_DIFF_PRESS "Boolean
644E 1 BYTE FCTL_annunSPEED_TRIM_FAIL "Boolean
644F 1 BYTE FCTL_annunMACH_TRIM_FAIL "Boolean
6450 1 BYTE FCTL_annunAUTO_SLAT_FAIL "Boolean
6451 1 BYTE NAVDIS_VHFNavSelector "0: BOTH ON 1 1: NORMAL 2: BOTH ON 2
6452 1 BYTE NAVDIS_IRSSelector "0: BOTH ON L 1: NORMAL 2: BOTH ON R
6453 1 BYTE NAVDIS_FMCSelector "0: BOTH ON L 1: NORMAL 2: BOTH ON R
6454 1 BYTE NAVDIS_SourceSelector "0: ALL ON 1 1: AUTO 2: ALL ON 2
6455 1 BYTE NAVDIS_ControlPaneSelector "0: BOTH ON 1 1: NORMAL 2: BOTH ON 2
6458 4 FLT32 FUEL_FuelTempNeedle
645C 1 BYTE FUEL_CrossFeedSw
645D 2 BYTE FUEL_PumpFwdSw[2] "Boolean
645F 2 BYTE FUEL_PumpAftSw[2] "Boolean left aft / right aft
6461 2 BYTE FUEL_PumpCtrSw[2] "Boolean ctr left / ctr right
6463 2 BYTE FUEL_annunENG_VALVE_CLOSED[2] "Boolean
6465 2 BYTE FUEL_annunSPAR_VALVE_CLOSED[2] "Boolean
6467 2 BYTE FUEL_annunFILTER_BYPASS[2] "Boolean
6469 1 BYTE FUEL_annunXFEED_VALVE_OPEN "Boolean
646A 2 BYTE FUEL_annunLOWPRESS_Fwd[2] "Boolean
646C 2 BYTE FUEL_annunLOWPRESS_Aft[2] "Boolean
646E 2 BYTE FUEL_annunLOWPRESS_Ctr[2] "Boolean
6470 1 BYTE ELEC_annunBAT_DISCHARGE "Boolean
6471 1 BYTE ELEC_annunTR_UNIT "Boolean
6472 1 BYTE ELEC_annunELEC "Boolean
6473 1 BYTE ELEC_DCMeterSelector "0: STBY PWR 1: BAT BUS ... 7: TEST
6474 1 BYTE ELEC_ACMeterSelector "0: STBY PWR 1: GND PWR ... 6: TEST
6475 1 BYTE ELEC_BatSelector "0: OFF 1: BAT 2: ON
6476 1 BYTE ELEC_CabUtilSw "Boolean
6477 1 BYTE ELEC_IFEPassSeatSw "Boolean
6478 2 BYTE ELEC_annunDRIVE[2] "Boolean
647A 1 BYTE ELEC_annunSTANDBY_POWER_OFF "Boolean
647B 2 BYTE ELEC_IDGDisconnectSw[2] "Boolean
647D 1 BYTE ELEC_StandbyPowerSelector "0: BAT 1: OFF 2: AUTO
647E 1 BYTE ELEC_annunGRD_POWER_AVAILABLE "Boolean
647F 1 BYTE ELEC_GrdPwrSw "Boolean
6480 1 BYTE ELEC_BusTransSw_AUTO "Boolean
6481 2 BYTE ELEC_GenSw[2] "Boolean
6483 2 BYTE ELEC_APUGenSw[2] "Boolean
6485 2 BYTE ELEC_annunTRANSFER_BUS_OFF[2] "Boolean
6487 2 BYTE ELEC_annunSOURCE_OFF[2] "Boolean
6489 2 BYTE ELEC_annunGEN_BUS_OFF[2] "Boolean
648B 1 BYTE ELEC_annunAPU_GEN_OFF_BUS "Boolean
648C 4 FLT32 APU_EGTNeedle
6490 1 BYTE APU_annunMAINT "Boolean
6491 1 BYTE APU_annunLOW_OIL_PRESSURE "Boolean
6492 1 BYTE APU_annunFAULT "Boolean
6493 1 BYTE APU_annunOVERSPEED "Boolean
6494 1 BYTE OH_WiperLSelector "0: PARK 1: INT 2: LOW 3:HIGH
6495 1 BYTE OH_WiperRSelector "0: PARK 1: INT 2: LOW 3:HIGH
6496 1 BYTE LTS_CircuitBreakerKnob "Position 0...150
6497 1 BYTE LTS_OvereadPanelKnob "Position 0...150
6498 1 BYTE AIR_EquipCoolingSupplyNORM "Boolean
6499 1 BYTE AIR_EquipCoolingExhaustNORM "Boolean
649A 1 BYTE AIR_annunEquipCoolingSupplyOFF "Boolean
649B 1 BYTE AIR_annunEquipCoolingExhaustOFF "Boolean
649C 1 BYTE LTS_annunEmerNOT_ARMED "Boolean
649D 1 BYTE LTS_EmerExitSelector "0: OFF 1: ARMED 2: ON
649E 1 BYTE COMM_NoSmokingSelector "0: OFF 1: AUTO 2: ON
649F 1 BYTE COMM_FastenBeltsSelector "0: OFF 1: AUTO 2: ON
64A0 1 BYTE COMM_annunCALL "Boolean
64A1 1 BYTE COMM_annunPA_IN_USE "Boolean
64A2 4 BYTE ICE_annunOVERHEAT[4] "Boolean
64A6 4 BYTE ICE_annunON[4] "Boolean
64AA 4 BYTE ICE_WindowHeatSw[4] "Boolean
64AE 1 BYTE ICE_annunCAPT_PITOT "Boolean
64AF 1 BYTE ICE_annunL_ELEV_PITOT "Boolean
64B0 1 BYTE ICE_annunL_ALPHA_VANE "Boolean
64B1 1 BYTE ICE_annunL_TEMP_PROBE "Boolean
64B2 1 BYTE ICE_annunFO_PITOT "Boolean
64B3 1 BYTE ICE_annunR_ELEV_PITOT "Boolean
64B4 1 BYTE ICE_annunR_ALPHA_VANE "Boolean
64B5 1 BYTE ICE_annunAUX_PITOT "Boolean
64B6 2 BYTE ICE_TestProbeHeatSw[2] "Boolean
64B8 2 BYTE ICE_annunVALVE_OPEN[2] "Boolean
64BA 2 BYTE ICE_annunCOWL_ANTI_ICE[2] "Boolean
64BC 2 BYTE ICE_annunCOWL_VALVE_OPEN[2] "Boolean
64BE 1 BYTE ICE_WingAntiIceSw "Boolean
64BF 2 BYTE ICE_EngAntiIceSw[2] "Boolean
64C1 2 BYTE HYD_annunLOW_PRESS_eng[2] "Boolean
64C3 2 BYTE HYD_annunLOW_PRESS_elec[2] "Boolean
64C5 2 BYTE HYD_annunOVERHEAT_elec[2] "Boolean
64C7 2 BYTE HYD_PumpSw_eng[2] "Boolean
64C9 2 BYTE HYD_PumpSw_elec[2] "Boolean
64CB 1 BYTE AIR_TempSourceSelector "Positions 0..6
64CC 1 BYTE AIR_TrimAirSwitch "Boolean
64CD 3 BYTE AIR_annunZoneTemp[3] "Boolean
64D0 1 BYTE AIR_annunDualBleed "Boolean
64D1 1 BYTE AIR_annunRamDoorL "Boolean
64D2 1 BYTE AIR_annunRamDoorR "Boolean
64D3 2 BYTE AIR_RecircFanSwitch[2] "Boolean
64D5 2 BYTE AIR_PackSwitch[2] "0=OFF 1=AUTO 2=HIGH
64D7 2 BYTE AIR_BleedAirSwitch[2] "Boolean
64D9 1 BYTE AIR_APUBleedAirSwitch "Boolean
64DA 1 BYTE AIR_IsolationValveSwitch "Boolean
64DB 2 BYTE AIR_annunPackTripOff[2] "Boolean
64DD 2 BYTE AIR_annunWingBodyOverheat[2] "Boolean
64DF 2 BYTE AIR_annunBleedTripOff[2] "Boolean
64E4 4 DWORD AIR_FltAltWindow
